# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.51
2                       0.41
4                       0.43
8                       0.54
16                      0.41
32                      0.69
64                      0.59
128                     1.02
256                     0.97
512                     1.05
1024                    1.42
2048                    1.64
4096                    2.86
8192                    4.13
16384                   6.77
32768                   7.99
65536                  10.17
131072                 14.65
262144                 23.79
524288                 40.57
1048576                82.48
