Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,Processes,Algorithm
1,0.18,0.17,0.19,10000,4,basic linear
2,0.18,0.17,0.19,10000,4,basic linear
4,0.18,0.17,0.18,10000,4,basic linear
8,0.18,0.17,0.19,10000,4,basic linear
16,0.18,0.17,0.19,10000,4,basic linear
32,0.24,0.22,0.26,10000,4,basic linear
64,0.22,0.21,0.24,10000,4,basic linear
128,0.37,0.29,0.45,10000,4,basic linear
256,0.42,0.32,0.52,10000,4,basic linear
512,0.46,0.37,0.58,10000,4,basic linear
1024,0.64,0.49,0.84,10000,4,basic linear
2048,0.91,0.67,1.24,10000,4,basic linear
4096,1.48,1.05,2.02,10000,4,basic linear
8192,2.38,1.6,3.3,10000,4,basic linear
16384,4.52,3.75,5.0,10000,4,basic linear
32768,7.58,6.63,8.14,10000,4,basic linear
65536,12.87,10.48,13.93,10000,4,basic linear
131072,24.23,20.11,25.89,10000,4,basic linear
262144,47.02,40.09,49.86,10000,4,basic linear
524288,92.5,81.92,97.27,10000,4,basic linear
1048576,199.68,189.63,204.91,10000,4,basic linear
1,2.34,0.34,3.46,10000,46,binary tree
2,2.36,0.33,3.48,10000,46,binary tree
4,2.67,0.43,4.1,10000,46,binary tree
8,2.54,0.33,3.91,10000,46,binary tree
16,2.35,0.33,3.47,10000,46,binary tree
32,2.75,0.41,4.07,10000,46,binary tree
64,2.81,0.43,4.22,10000,46,binary tree
128,3.55,0.74,5.27,10000,46,binary tree
256,3.72,0.77,5.49,10000,46,binary tree
512,4.03,0.77,6.06,10000,46,binary tree
1024,5.21,0.85,7.81,10000,46,binary tree
2048,6.4,1.02,10.08,10000,46,binary tree
4096,9.65,1.52,15.33,10000,46,binary tree
8192,15.31,2.04,24.6,10000,46,binary tree
16384,33.17,5.96,45.71,10000,46,binary tree
32768,54.55,9.17,75.3,10000,46,binary tree
65536,100.07,16.13,140.39,10000,46,binary tree
131072,200.34,29.66,269.85,10000,46,binary tree
262144,386.2,55.76,518.55,10000,46,binary tree
524288,765.22,108.27,1026.75,10000,46,binary tree
1048576,1455.9,228.59,1969.85,10000,46,binary tree
1,0.83,0.22,1.19,10000,10,binary tree
2,0.83,0.22,1.18,10000,10,binary tree
4,0.82,0.22,1.17,10000,10,binary tree
8,0.82,0.22,1.17,10000,10,binary tree
16,0.82,0.22,1.17,10000,10,binary tree
32,0.96,0.23,1.3,10000,10,binary tree
64,0.93,0.23,1.26,10000,10,binary tree
128,1.25,0.36,1.62,10000,10,binary tree
256,1.3,0.37,1.69,10000,10,binary tree
512,1.39,0.36,1.79,10000,10,binary tree
1024,1.75,0.5,2.21,10000,10,binary tree
2048,2.2,0.61,2.89,10000,10,binary tree
4096,3.19,0.92,4.16,10000,10,binary tree
8192,4.93,1.48,6.46,10000,10,binary tree
16384,12.79,5.62,15.45,10000,10,binary tree
32768,19.36,8.4,23.13,10000,10,binary tree
65536,33.46,14.52,39.79,10000,10,binary tree
131072,60.93,26.45,71.93,10000,10,binary tree
262144,113.53,49.45,132.72,10000,10,binary tree
524288,221.62,97.38,259.61,10000,10,binary tree
1048576,461.27,208.35,533.88,10000,10,binary tree
1,3.19,0.33,6.46,10000,46,chain
2,3.77,0.54,7.58,10000,46,chain
4,3.3,0.31,6.65,10000,46,chain
8,3.36,0.31,6.46,10000,46,chain
16,3.13,0.3,6.4,10000,46,chain
32,3.57,0.26,7.24,10000,46,chain
64,3.62,0.26,7.15,10000,46,chain
